"idconfiguration","idcapteur","mode","potentiometre","hauteur","eclairage","POK","PNOK","POUT","InP","detection","version"
"1","1","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"2","2","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"3","3","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"4","4","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"5","5","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"6","6","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"7","7","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"8","8","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"9","9","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"10","10","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"11","11","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"12","12","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"13","13","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"14","14","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"15","15","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"16","16","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"17","17","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"18","18","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"19","19","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"20","20","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"21","21","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"22","22","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"23","23","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"24","24","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"25","25","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"26","26","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"27","27","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"28","28","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"29","29","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"30","30","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"31","31","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"32","32","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"33","33","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"34","34","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"35","35","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"36","36","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"37","37","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"38","38","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"39","39","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"40","40","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"41","41","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"42","42","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"43","43","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"44","44","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"45","45","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"46","46","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"47","47","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"48","48","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"49","49","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"50","50","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"51","51","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"52","52","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"53","53","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"54","54","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"55","55","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"56","56","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"57","57","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"58","58","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"59","59","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"60","60","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"61","61","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"62","62","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"63","63","TX/RX","16","280","250","0","0","254","0","sol","1.6"
"64","64","TX/RX","16","280","250","0","0","254","0","sol","1.6"
